player,team,pos,opp,solo,ast,sack,int,pd,tfl,ff,fr,def_td
Anfernee Jennings,NO,LB,LV,1.48,1.02,0.09,,0.06,0.23,,0.06,
Michael Hoecht,BUF,DT,LAC,1.37,0.75,0.19,,0.12,0.12,,,
Isaiah McGuire,CLE,DL,CAR,0.91,0.8,0.13,,,0.43,0.05,,
Alim McNeill,DET,NT,NYJ,0.48,0.73,0.12,,0.06,0.18,0.06,,
Jordan Burch,ARI,DL,SF,0.45,0.6,0.18,,0.15,0.1,,,
Albert Regis,JAX,DT,NE,0.06,0.06,0.06,,,0.06,,,
Tershawn Wharton,CAR,DT,CLE,1.23,1.06,0.11,,0.06,0.17,0.06,,
Tyler Davis,LAR,K,DEN,0.98,1.09,0.06,,0.11,0.11,,0.06,
Patrick Jones,CAR,DE,CLE,0.89,0.67,0.17,,,0.28,,,
Grady Jarrett,CHI,DT,PHI,0.78,0.98,0.05,,,0.16,0.1,,
Jordan Davis,PHI,DL,CHI,1.54,1.38,0.16,,0.26,0.37,,,
Kentavius Street,CHI,DT,PHI,0.47,0.57,0.16,,,0.26,,,
Jackie Marshall,TEN,DE,NYG,0.1,0.05,0.05,,,0.05,,,
Derrick Brown,CAR,DT,CLE,1.68,1.94,0.16,,0.31,0.26,,,
Keldric Faulk,TEN,DL,NYG,0.88,0.52,0.1,,0.16,0.16,0.05,,
T'Vondre Sweat,NYJ,DL,DET,1.08,1.19,0.11,,0.11,0.27,0.05,,
Yahya Black,PIT,DT,CIN,0.11,0.11,0.05,,,0.05,,,
JJ Pegues,LV,DT,NO,0.22,0.16,0.05,,,0.05,,,
Cameron Heyward,PIT,DT,CIN,1.86,1.75,0.16,,0.27,0.42,,,
Elijah Simmons,TB,DL,MIN,0.16,0.05,0.05,,,0.05,,,
Derrick Barnes,DET,LB,NYJ,2.24,2.06,0.15,,0.12,0.3,,,
Daron Payne,WAS,DT,SEA,0.15,0.2,0.05,,,0.05,,,
Darius Alexander,NYG,DL,TEN,0.82,0.82,0.15,,0.1,0.36,,,
Christian Barmore,NE,DT,JAX,0.98,0.82,0.15,,,0.15,,,
Gracen Halton,SF,DT,ARI,0.37,0.56,0.15,,0.12,0.12,,,
A'Shawn Robinson,TB,DT,MIN,1.37,1.27,0.15,,0.1,0.2,,,
Shelby Harris,NYG,DE,TEN,0.87,0.98,0.08,,0.16,0.33,0.05,,
Shemar Stewart,CIN,DL,PIT,0.56,0.62,0.14,,0.06,0.17,,,
Bud Dupree,LAC,LB,BUF,0.55,0.39,0.14,,0.06,0.17,,,
Nathan Shepherd,NO,DT,LV,1.19,1.08,0.14,,,0.17,,,
Ruke Orhorhoro,JAX,DT,NE,0.64,0.69,0.14,,0.06,0.12,,,
Jonah Laulu,LV,DL,NO,1.16,1.16,0.13,,0.25,0.4,,,
Byron Young,PHI,DL,CHI,0.23,0.11,0.11,,,0.11,,,
Malcolm Roach,DEN,DT,LAR,0.88,0.77,0.11,,0.11,0.17,,,
B.J. Hill,CIN,DT,PIT,0.96,1.19,0.11,,,0.23,,,
Kris Jenkins,CIN,DL,PIT,0.06,0.17,0.11,,,0.06,,,
Myles Murphy,CIN,DL,PIT,0.53,0.53,0.11,,0.05,0.11,,,
D.J. Jones,DEN,DT,LAR,1.16,1.1,0.11,,0.06,0.11,,,
Dominique Robinson,HOU,DL,IND,0.11,0.45,0.11,,,0.06,,,
Roy Lopez,ARI,DT,SF,1.07,0.91,0.11,,0.11,0.21,,,
Kenny Clark,DAL,DE,BAL,0.87,0.93,0.11,,0.11,0.27,,,
Tyleik Williams,DET,DL,NYJ,0.68,0.63,0.11,,0.23,0.17,,,
Dante Stills,ARI,DT,SF,0.96,0.91,0.05,,0.05,0.11,0.05,,
LaCale London,ATL,DT,GB,0.16,0.16,0.11,,,1.74,,,
Neville Gallimore,CHI,DT,PHI,0.41,0.62,0.1,,0.05,0.16,,,
Jamaree Caldwell,LAC,DT,BUF,0.73,0.78,0.05,,0.1,0.26,0.05,,
Levi Onwuzurike,DET,DE,NYJ,0.73,0.54,0.09,,0.06,0.12,,,
Eyioma Uwazurike,DEN,DL,LAR,0.83,1.1,0.08,,,0.22,,,
Elijah Roberts,TB,DT,MIN,0.46,0.36,0.08,,0.05,0.15,,,
DJ Reader,NYG,DT,TEN,0.65,0.76,0.08,,0.05,0.05,,,
Ty Robinson,PHI,DT,CHI,0.23,0.11,0.06,,,0.06,,,
LaBryan Ray,CAR,DL,CLE,0.06,0.17,0.06,,,0.06,,,
Broderick Washington,BAL,DT,DAL,0.92,0.8,0.06,,0.06,0.06,,,
Wesley Williams,JAX,DE,NE,0.06,0.06,0.06,,,0.06,,,
Cashius Howell,CIN,DL,PIT,0.51,0.45,0.06,,0.06,0.11,,,
Lee Hunter,CAR,DL,CLE,1.12,0.84,,,0.11,0.22,0.06,,
Aeneas Peebles,BAL,DT,DAL,0.12,0.18,0.06,,,0.06,,,
Tyrion Ingram-Dawkins,MIN,DE,TB,0.11,0.22,0.06,,,0.06,,,
Rylie Mills,SEA,DL,WAS,0.11,0.11,0.06,,,0.06,,,
T.J. Sanders,BUF,DL,LAC,0.75,0.68,0.06,,0.12,0.19,,,
Khristian Boyd,NO,DL,LV,0.17,0.17,0.06,,,0.06,,,
Logan Hall,HOU,DL,IND,0.06,0.11,0.06,,,0.06,,,
Khyiris Tonga,KC,DT,MIA,0.94,0.5,0.06,,0.12,0.12,,,
Ahmed Hassanein,DET,DE,NYJ,0.12,0.06,0.06,,,0.06,,,
Tyrus Wheat,DAL,DE,BAL,0.35,0.41,0.06,,,,,,
Brandon Pili,SEA,DT,WAS,0.11,0.11,0.06,,,0.06,,,
John Jenkins,BAL,DT,DAL,0.81,1.16,0.06,,0.06,0.12,,,
Aaron Hall,CAR,DT,CLE,0.06,0.17,0.06,,,0.06,,,
Landon Robinson,CIN,NT,PIT,0.06,0.17,0.06,,,0.06,,,
Elijah Williams,MIN,DL,TB,0.11,0.22,0.06,,,0.06,,,
TeRah Edwards,CAR,DL,CLE,0.28,0.22,0.06,,,0.06,,,
Calais Campbell,BAL,DE,DAL,0.12,0.18,0.06,,,0.25,,,
Mekhi Wingo,DET,DT,NYJ,0.12,0.06,0.06,,,0.06,,,
Tyree Wilson,NO,LB,LV,0.17,0.17,0.06,,,0.06,,,
Jordan Jackson,DEN,DL,LAR,0.17,0.17,0.06,,,0.06,,,
Skyler Gill-Howard,DET,DT,NYJ,0.12,0.06,0.06,,,0.06,,,
Nick Barrett,LAC,DT,BUF,0.28,0.22,0.06,,,0.06,,,
C.J. West,SF,DT,ARI,0.56,0.68,0.06,,,0.12,,,
Ashton Gillotte,KC,DE,MIA,0.12,0.12,0.06,,,0.06,,,
Levi Drake Rodriguez,MIN,DT,TB,0.11,0.22,0.06,,,2.0,,,
DeWayne Carter,BUF,DT,LAC,0.12,0.12,0.06,,,0.06,,,
John Ridgeway,NO,DL,LV,0.17,0.17,0.06,,,0.06,,,
Eric O'Neill,DET,DE,NYJ,0.12,0.06,0.06,,,0.06,,,
Sabastian Harsh,HOU,DE,IND,0.06,0.11,0.06,,,0.06,,,
Matt Dickerson,JAX,DE,NE,0.06,0.06,0.06,,,0.06,,,
Christen Miller,NO,DL,LV,0.17,0.17,0.06,,,0.06,,,
Sai'vion Jones,DEN,DE,LAR,0.17,0.17,0.06,,,0.83,,,
Jaden Crumedy,HOU,DT,IND,0.17,0.11,0.06,,,0.39,,,
Chris McClellan,GB,DT,ATL,0.17,0.11,0.06,,,0.06,,,
Jordon Riley,GB,DL,ATL,0.17,0.11,0.06,,,0.06,,,
Jayden Loving,CHI,DT,PHI,0.16,0.05,0.05,,,0.05,,,
Jordan van den Berg,CHI,DL,PHI,0.16,0.05,0.05,,,0.05,,,
James Lynch,CHI,DT,PHI,0.16,0.05,0.05,,,0.05,,,
Jamree Kromah,CHI,DL,PHI,0.16,0.05,0.05,,,0.05,,,
Andrew Billings,ARI,DT,SF,0.59,0.43,0.05,,,0.16,,,
Kevin Jobity,PIT,DL,CIN,0.11,0.11,0.05,,,0.05,,,
Keith Cooper,MIA,DL,KC,0.15,0.1,0.05,,,0.05,,,
Mike Hall,CLE,DT,CAR,0.05,0.11,0.05,,,0.05,,,
C.J. Okoye,NYG,DL,TEN,0.11,0.16,0.05,,,0.05,,,
DJ Davidson,WAS,DL,SEA,0.15,0.2,0.05,,,0.05,,,
Malik Herring,MIA,DE,KC,0.1,0.05,0.05,,,0.05,,,
Bobby Jamison-Travis,NYG,DL,TEN,0.11,0.11,0.05,,,0.05,,,
Caden Curry,IND,DL,HOU,0.16,0.05,0.05,,,0.05,,,
Zeek Biggers,MIA,DL,KC,0.15,0.1,0.05,,,0.05,,,
Tonka Hemingway,LV,DT,NO,0.22,0.16,0.05,,,0.05,,,
T.J. Slaton,CIN,DT,PIT,0.8,0.9,0.05,,,0.16,,,
Shy Tuttle,WAS,DT,SEA,0.15,0.2,0.05,,,0.05,,,
Jerry Tillery,IND,DT,HOU,0.16,0.05,0.05,,,0.05,,,
Oluwafemi Oladejo,TEN,DL,NYG,0.1,0.05,0.05,,,0.05,,,
DaVon Hamilton,JAX,DT,NE,1.09,1.14,0.05,,,0.11,,,
L.J. Collier,ARI,DE,SF,0.16,0.16,0.05,,,0.05,,,
Josh Tupou,NYG,DT,TEN,0.11,0.11,0.05,,,0.05,,,
Gabriel Rubio,PIT,DL,CIN,0.11,0.11,0.05,,,0.05,,,
George Gumbs,IND,DE,HOU,0.16,0.05,0.05,,,0.05,,,
Adin Huntington,CLE,DT,CAR,0.05,0.11,0.05,,,0.05,,,
Jordan Phillips,MIA,DL,KC,0.41,0.31,0.05,,0.05,0.05,,,
Joshua Farmer,NE,DL,JAX,0.11,0.11,0.05,,,0.05,,,
Leonard Taylor,NE,DL,JAX,0.11,0.11,0.05,,,0.05,,,
Darius Robinson,ARI,DL,SF,1.23,1.12,0.05,,,0.27,,,
Javon Kinlaw,WAS,DT,SEA,0.15,0.2,0.05,,,0.05,,,
Solomon Thomas,TEN,DT,NYG,0.1,0.05,0.05,,,0.05,,,
Rakeem Nunez-Roches,TB,DT,MIN,0.16,0.05,0.05,,,0.76,,,
