player,team,pos,opp,solo,ast,sack,int,pd,tfl,ff,fr,def_td
Patrick Chung,,SS,,,,,,,,,,
A.J. Thomas,,DB,,,,,,,,,,
Cobee Bryant,,DB,,,,,,,,,,
Jaylen Key,,DB,,,,,,,,,,
Holton Hill,,CB,,,,,,,,,,
Donovan Olumba,,CB,,,,,,,,,,
Bryce Sheppert,,DB,,,,,,,,,,
Tracy Walker,,DB,,,,,,,,,,
Sidney Jones,,CB,,,,,,,,,,
Andrew Booth,,DB,,,,,,,,,,
Anthony Johnson,CHI,DB,,,,,,,,,,
Mark Fields,SF,CB,,,,,,,,,,
Brandon Hill,,DB,,,,,,,,,,
John Reid,,CB,,,,,,,,,,
Reese Fleming,,CB,,,,,,,,,,
Darius Williams,,CB,,,,,,,,,,
Ryan White,,CB,,,,,,,,,,
Devin Pringle,,DB,,,,,,,,,,
Jordan Richards,BAL,DB,,,,,,,,,,
Cam'Ron Silmon-Craig,JAX,DB,,,,,,,,,,
Damian Parms,,SS,,,,,,,,,,
Christian Braswell,JAX,DB,,,,,,,,,,
Sanoussi Kane,,DB,,,,,,,,,,
Dakari Monroe,,CB,,,,,,,,,,
Alex Austin,,DB,,,,,,,,,,
Darian Thompson,DAL,DB,,,,,,,,,,
Brendon White,NYJ,LB,,,,,,,,,,
Bobby McCain,,CB,,,,,,,,,,
Elijah Riley,,DB,,,,,,,,,,
Zech McPhearson,,CB,,,,,,,,,,
Marshon Lattimore,,CB,,,,,,,,,,
Donovan Stiner,,DB,,,,,,,,,,
Shaquill Griffin,,CB,,,,,,,,,,
Taylor Reynolds,,CB,,,,,,,,,,
Rashaan Gaulden,,DB,,,,,,,,,,
Levi Wallace,,CB,,,,,,,,,,
Bud Clark,SEA,DB,,,,,,,,,,
Jay Liggins,,DB,,,,,,,,,,
Michael Jacquet,,CB,,,,,,,,,,
Jordan Mosley,,DB,,,,,,,,,,
Blidi Wreh-Wilson,TB,CB,,,,,,,,,,
Andrew Whitaker,,CB,,,,,,,,,,
Tra Fluellen,,DB,,,,,,,,,,
Ryan Smith,,CB,,,,,,,,,,
Reggie Hall,,CB,,,,,,,,,,
T.J. Tampa,BAL,DB,,,,,,,,,,
Damarious Randall,,CB,,,,,,,,,,
Dominique Hampton,TEN,CB,,,,,,,,,,
B.W. Webb,,CB,,,,,,,,,,
Trey Taylor,,DB,,,,,,,,,,
Cam Allen,,DB,,,,,,,,,,
Keon Lyn,,CB,,,,,,,,,,
Nate Brooks,,DB,,,,,,,,,,
Shilo Sanders,,DB,,,,,,,,,,
Rudy Ford,,DB,,,,,,,,,,
DJ James,,CB,,,,,,,,,,
Jadar Johnson,,FS,,,,,,,,,,
Shaun Wade,,CB,,,,,,,,,,
Daquan Holmes,,FS,,,,,,,,,,
Jerry Wilson,,CB,,,,,,,,,,
Howard Wilson,,CB,,,,,,,,,,
Devlin Kirklin,,DB,,,,,,,,,,
Maxen Hook,SEA,DB,,,,,,,,,,
Tre Swilling,,CB,,,,,,,,,,
Chris Miller,,DB,,,,,,,,,,
Tyler Sigler,,DB,,,,,,,,,,
Shaun Jolly,,CB,,,,,,,,,,
Daniel Davie,,CB,,,,,,,,,,
Quenton Meeks,,CB,,,,,,,,,,
Malik Spencer,,DB,,,,,,,,,,
Landon Feichter,,SS,,,,,,,,,,
Briean Boddy-Calhoun,TEN,CB,,,,,,,,,,
Elijah Battle,,CB,,,,,,,,,,
Gregory Junior,,CB,,,,,,,,,,
Kavon Frazier,LV,DB,,,,,,,,,,
Jordan Miller,,DB,,,,,,,,,,
Davante Davis,,CB,,,,,,,,,,
Corn Elder,,CB,,,,,,,,,,
Kobe Williams,,CB,,,,,,,,,,
Jacob Thieneman,,SS,,,,,,,,,,
Roman Parodie,,CB,,,,,,,,,,
Antoine Bethea,,FS,,,,,,,,,,
Bruce Harmon,,CB,,,,,,,,,,
Brandon Stewart,,CB,,,,,,,,,,
Ronnie Harrison,MIA,DB,,,,,,,,,,
Tyrann Mathieu,,DB,,,,,,,,,,
DeMarkus Acy,,CB,,,,,,,,,,
Nathan Meadors,,DB,,,,,,,,,,
Tavon Wilson,SF,DB,,,,,,,,,,
Randall Goforth,,FS,,,,,,,,,,
Josh Proctor,,DB,,,,,,,,,,
Nevin Lawson,,CB,,,,,,,,,,
Reggie Floyd,,DB,,,,,,,,,,
Isaiah Wharton,,SS,,,,,,,,,,
Stephon Gilmore,,CB,,,,,,,,,,
Dexter Wright,,S,,,,,,,,,,
Trae Waynes,CIN,CB,,,,,,,,,,
Devin Neal,,DB,,,,,,,,,,
Rashaan Melvin,,CB,,,,,,,,,,
Raleigh Texada,,CB,,,,,,,,,,
Ian Wells,,CB,,,,,,,,,,
Nasir Adderley,,DB,,,,,,,,,,
Manny Patterson,,DB,,,,,,,,,,
Malik Hooker,DAL,DB,,,,,,,,,,
Gemon Green,,DB,,,,,,,,,,
Juan Thornhill,,DB,,,,,,,,,,
Trevian Thomas,,DB,,,,,,,,,,
Kolby Harvell-Peel,,DB,,,,,,,,,,
Preston Hodge,,CB,,,,,,,,,,
Dominique Rodgers-Cromartie,,CB,,,,,,,,,,
Josh Thornton,,CB,,,,,,,,,,
Aydan White,,CB,,,,,,,,,,
Picasso Nelson,,CB,,,,,,,,,,
Tino Ellis,,CB,,,,,,,,,,
Lawrence Johnson,,DB,,,,,,,,,,
Marc Stampley,,DB,,,,,,,,,,
Tavon Young,,CB,,,,,,,,,,
Michael Dansby,SEA,DB,,,,,,,,,,
Lamar Jackson,,CB,,,,,,,,,,
Malik Smith,,SS,,,,,,,,,,
Joejuan Williams,,CB,,,,,,,,,,
Shawn Williams,,DB,,,,,,,,,,
Devon Marshall,,CB,,,,,,,,,,
Will Harris,,DB,,,,,,,,,,
Brian Cole,,DB,,,,,,,,,,
Tre Flowers,,CB,,,,,,,,,,
Eric Garror,,CB,,,,,,,,,,
Bradley Sylve,,CB,,,,,,,,,,
Khyree Jackson,,DB,,,,,,,,,,
Josh Minkins,,DB,,,,,,,,,,
Michael Carter,PHI,CB,,,,,,,,,,
Myles Purchase,,DB,,,,,,,,,,
Bryce Canady,,CB,,,,,,,,,,
Devin Chappell,,FS,,,,,,,,,,
Colby Richardson,,CB,,,,,,,,,,
Michael Cirino,,S,,,,,,,,,,
Marcus Murphy,,DB,,,,,,,,,,
Alvin Hill,,CB,,,,,,,,,,
Jordan Moore,,FS,,,,,,,,,,
Cameron Glenn,,S,,,,,,,,,,
