player,team,pos,opp,solo,ast,sack,int,pd,tfl,ff,fr,def_td
Josh Augusta,,NT,,,,,,,,,,
Isaiah Foskey,CIN,DL,,,,,,,,,,
Derek Parish,,DL,,,,,,,,,,
Deonte Gibson,,DE,,,,,,,,,,
Alfy Hill,,DE,,,,,,,,,,
Chris Nelson,,DE,,,,,,,,,,
Tyce Westland,,DE,,,,,,,,,,
Jaylen Twyman,,DT,,,,,,,,,,
Izaah Lunsford,,DE,,,,,,,,,,
Ryan Anderson,,LB,,,,,,,,,,
Blaine Woodson,,DE,,,,,,,,,,
Brandon Matterson,,DL,,,,,,,,,,
Tyreke Smith,KC,DL,,,,,,,,,,
Carroll Phillips,,DE,,,,,,,,,,
Maurice Hurst,,DT,,,,,,,,,,
Hamilcar Rashed,,DE,,,,,,,,,,
James Nyamwaya,,DE,,,,,,,,,,
Freedom Akinmoladun,NYJ,DE,,,,,,,,,,
Derrek Tuszka,,LB,,,,,,,,,,
Owen Obasuyi,,DE,,,,,,,,,,
Jeffrey M'ba,WAS,DL,,,,,,,,,,
Ali Gaye,HOU,DE,,,,,,,,,,
Tarron Jackson,,DE,,,,,,,,,,
Dawuane Smoot,,DE,,,,,,,,,,
Myles Adams,,DT,,,,,,,,,,
Brodric Martin-Rhodes,,DT,,,,,,,,,,
Elijah Qualls,,DT,,,,,,,,,,
Jarron Jones,,OL,,,,,,,,,,
Shane Bowman,,DE,,,,,,,,,,
Jaylen Johnson,,DL,,,,,,,,,,
Roy Robertson-Harris,NYG,DE,,,,,,,,,,
Malik McDowell,,DT,,,,,,,,,,
Demeco Roland,,DL,,,,,,,,,,
Cameron Robertson,ARI,DE,,,,,,,,,,
Jaylen Harrell,TEN,DE,,,,,,,,,,
Darius Stills,,DT,,,,,,,,,,
David Dean,,DT,,,,,,,,,,
Jalen Harris,,DL,,,,,,,,,,
Princely Umanmielen,CAR,DL,,,,,,,,,,
Justin Zimmer,,DT,,,,,,,,,,
Bryce Rodgers,,DT,,,,,,,,,,
Jashon Cornell,,DT,,,,,,,,,,
Jaylon White-McClain,,DE,,,,,,,,,,
Jacobian Guillory,,DL,,,,,,,,,,
Owen Carney,,DT,,,,,,,,,,
Marquan McCall,,DL,,,,,,,,,,
Ronald Blair,NYJ,DE,,,,,,,,,,
Antwuan Jackson,,DT,,,,,,,,,,
Dare Odeyingbo,,DE,,,,,,,,,,
David Moa,,DT,,,,,,,,,,
Dan Pettinato,,DE,,,,,,,,,,
Carson Taylor,,DE,,,,,,,,,,
Josh Mauro,ARI,DE,,,,,,,,,,
Isaiah Mack,,DT,,,,,,,,,,
Sam Renner,,DT,,,,,,,,,,
Shamar Stephen,,DT,,,,,,,,,,
Casey Sayles,,DE,,,,,,,,,,
Gabe Wright,WAS,DT,,,,,,,,,,
Eddie Walls,LAR,DL,,,,,,,,,,
Adam Gotsis,,DE,,,,,,,,,,
Rodney Mathews,,DT,,,,,,,,,,
DeAngelo Brown,,NT,,,,,,,,,,
Malik Jackson,CLE,DT,,,,,,,,,,
Remario-DUP Steppings-DUP,,DL,,,,,,,,,,
Zane Durant,BUF,DT,,,,,,,,,,
Karter Schult,,DE,,,,,,,,,,
Pat Afriyie,,DE,,,,,,,,,,
Kahlil Saunders,,DL,,,,,,,,,,
Christian Brown,,DE,,,,,,,,,,
Joe Jackson,,DE,,,,,,,,,,
Bryson Young,,LB,,,,,,,,,,
Mike Ramsay,,NT,,,,,,,,,,
Khalid Duke,,DE,,,,,,,,,,
Leonard Floyd,,LB,,,,,,,,,,
David Olajiga,BAL,DL,,,,,,,,,,
Joshua Weru,PHI,DE,,,,,,,,,,
Brennan Jackson,LV,DE,,,,,,,,,,
Jonah Tavai,,DL,,,,,,,,,,
Terrance Lang,,DL,,,,,,,,,,
Curtis Brooks,,DT,,,,,,,,,,
Tyre West,,DT,,,,,,,,,,
Demone Harris,,DE,,,,,,,,,,
T.J. Smith,,DT,,,,,,,,,,
Cedrick Lattimore,,DT,,,,,,,,,,
Chris Williams,,DT,,,,,,,,,,
Johnathan Hankins,,DT,,,,,,,,,,
Myles Murphy,,DL,,,,,,,,,,
Alex McCalister,,DE,,,,,,,,,,
T.J. Jackson,,DL,,,,,,,,,,
Margus Hunt,,DE,,,,,,,,,,
Xavier Holmes,NE,DL,,,,,,,,,,
Romeo Okwara,,LB,,,,,,,,,,
Roderick Henderson,TEN,DT,,,,,,,,,,
L.J. Fort,,LB,,,,,,,,,,
Evan Schwan,,DE,,,,,,,,,,
Gabriel Mass,,DT,,,,,,,,,,
Lowell Lotulelei,,DL,,,,,,,,,,
Aaron Adeoye,,LB,,,,,,,,,,
Desmond Evans,,DE,,,,,,,,,,
Josiah Coatney,,DT,,,,,,,,,,
Mason Reiger,PHI,DE,,,,,,,,,,
DaMarcus Mitchell,,DE,,,,,,,,,,
Jeremiah Pharms,NE,DT,,,,,,,,,,
Dominic Bailey,,DL,,,,,,,,,,
Damon Harrison,,DT,,,,,,,,,,
Jordan Carrell,,DT,,,,,,,,,,
Connor Wujciak,,DT,,,,,,,,,,
Takk McKinley,,DE,,,,,,,,,,
Evan Panfil,,DE,,,,,,,,,,
Matt Henningsen,DEN,DE,,,,,,,,,,
Damonic Williams,ARI,DT,,,,,,,,,,
Auzoyah Alufohai,,DT,,,,,,,,,,
Hassan Ridgeway,,DT,,,,,,,,,,
Woody Baron,,DT,,,,,,,,,,
Vernon Butler,,DT,,,,,,,,,,
